author,teks
@deesdiary2689,"kak tlg bahas TINS, AKPI, SMDR n SSMS dong"
@trukmobilvideobis,"Cocok, SMDR ane juga bertanya tanya, lagi nyerok dikit dikit SMDR, PBV nya kecil"
@hokinoob,ADRO  PTBA the best
@jambujaya2131,PTBA best of de best....
@abeelinot,Kami avarsge 2800
@mandalaputra9646,Tolong bahas maha bang
@nawwafyusuf,"Perusahan yg bagi dividen tetap bagi dividen, jdi tenang aja guys"
@arissaeroji1923,"Bahas Bssr Jon, Terimakasih"
@ridwankurniadi28,Habis bagi dividen aja serok PTBA pasti roboh 1500-2000
@fitriadiansyah6205,Gak saampe ..ex date kmrn aja 2.690. Enak serok sekarang. Nanti dapet deviden buat tambah muatan
@ridwankurniadi28,"@@fitriadiansyah6205 tahun kemarin kan labanya tinggi, tahun ini ga gede tahun lalu jd hrga nya jg makin murah"
@adimfauzul,"Bang will saya mau tanya , bang will kan biasanya kasih harga wajar eps kali 10-20 kalau harga makin turun dr level yg telah di tentukan apakah bang will akan cutloss? #pernahkah bang will cut loss? disaat situasi dan valuasi bagaimana bang will cutloss tsb?, tolong buatkan video nya bang #makasih banyak"
@ignasiusadinugroho6302,Kok CL yg ada serok lah kl harga diskon kaya gitu. Apalagi PTBA dgn harga segini bisa ngasih 25-30%
@SarahVirtyTami-uh2mw,@@ignasiusadinugroho6302 karena bakalan ke 2300
@sucilestari470,Saham ny turun yg penting kan perushaaan ttep jualan batubara ny.. 😅 devident ttep di kasih
@mrtrololo4252,"Selagi pln masih monopoli kelistrikan nasional, selama itu juga ""safety"" utk stay di ptba akan terjaga. Prioritaskan dividen, capital gain anggap sebagai bonus. Hold keras jhon.."
@rahmatbudiarto3401,"Lumayan.. Tadi jam"" akhir sempat serok di harga 2.590..😊"
@SarahVirtyTami-uh2mw,Turun lagi tu
@rahmatbudiarto3401,"@@SarahVirtyTami-uh2mw Iya. Klo turun lagi, serok lagi mumpung baru gajian. Setting aj auto beli di harga terendah..😄"
@nrwardah5843,ge mana cara setting nya mas?
@Ferdiantt25,Gw yg nyangkut di 2860😢
@ilfardonuta6217,3600 msih tenang 😂
@arenansyah2277,Sabar saya di 34** belum AVG down ..tnggi momentum dan dana 🤭
@BasBay,3400 nyimak 😎
@khalidujungbatu4920,Bang bahas ADRO juga
@darmaputragusti9252,Lagi crash...
@arifyoga4518,16% gede coy
@widinurwicaksana7121,TLKM dong ko will
@nabilahumairanazra,Laporan keuangan saham maha dong ko😊
@korneliussuhendra1511,Aku masih wait n see.... nunggu turun lagi
@b.p.6763,Sabar... Emiten batu bara masih akan turun lagi...
@Dramatisku,Masih hold avg3500
@andrianyahandri9477,Saya di 3300😢
@heroemuiman800,Hold... long term😊 dividen investing.
@Mankdolz,Average down bang
@ilfardonuta6217,3600 sebelumnya 3800 😂
@zain14245,AVG 2800
@riderpride9248,Turun? Ya serok. Kpan lgi john turun. Ntar kl uda naik ya udah diversifikasi lainnya
@wahyuaari3440,Msh pantau ptba...
@BasBay,"Makasih ko wil.siap"" serok kalo gini.kalo bisa robohin dah ke 2200. Gue jual bri gue gue all in ptba 😂😂"
@Mankdolz,Sama 😂
@sucilestari470,Mantaapppp
@juridislev581,keren
@BasBay,Wkwkkw 😂😂
@pirwansamsung907,Beli gorengan aja gurih
@edwinfajar7057,Ditunggu di 2000
@yusupsupyan6331,Bahas adro ko
@masbayu9601,"Kamis serok BBRI di 4920 Hari ini serok adro di 2550, ptba 2590 Semoga sebulan kedepan bisa turun lagi biar bisa nambahin muatan😁"
@tjoevandie,Doamu dikabulkan hari ini 2360
@masbayu9601,"@@tjoevandie tadi bisa nambahin muatan tapi ngga banyak, amunisi tipis😁"
@tjoevandie,@@masbayu9601 aku juga masuk di harga 2400
@luluthardiyani9724,"Hari senin ini 2x beli ptba di harga 2650  2600, dpt 200 lot.. eeh tnya closing turun lg di 2590, kirain udh mentok di harga terendahx, hehehe"
@Mankdolz,Wawwww 200 lot 😂
@user-jh9sc7lw9d,"belinya cicil kak jangan langsung all in hehe, mantep bener 200 lot"
@luluthardiyani9724,"Iya kak, untung cicil blm all in. Nyesek pastix klu all in hehe… Selain ptba kmrn jg dpt itmg  bssr, cuma bssr yg msh ijo, semoga bertahan 😁"
@user-jh9sc7lw9d,"@@luluthardiyani9724 roboh dulu aja dong kak ehe biar saya bisa masuk, nunggu itmg 25 ribuan nih"
@donbhosup27,Saya masuk di untr. Jga lansgung merah semua.wkwkwk
@fungky711,Mntapp
